country,broadband,mobile
Monaco,32.7275,
Singapore,31.97875,13.12625
Hong Kong,31.8375,10.4475
Romania,29.02125,7.45875
Switzerland,28.745,16.9625
Denmark,28.48875,14.00375
Thailand,28.14625,7.1125
Chile,27.2,2.65375
France,26.755,10.81375
South Korea,26.57125,25.32625
Hungary,26.31875,7.52
Liechtenstein,25.5975,
United States of America,25.47625,13.75875
Spain,25.18375,7.7025
China,24.57125,20.6725
United Arab Emirates,23.63375,29.7575
Canada,22.97625,11.9725
Macau,22.3625,7.78875
Japan,22.345,8.6275
Sweden,21.8625,12.885
Luxembourg,21.50625,14.595
Andorra,21.43,
New Zealand,21.31375,9.48875
Norway,21.03125,22.215
Netherlands,20.625,13.3725
Israel,20.3325,6.0375
Portugal,20.31875,7.48875
Poland,19.54125,7.15375
Moldova,19.32,5.37375
Taiwan,19.00125,11.93875
Kuwait,18.67125,19.6475
Lithuania,18.38125,8.28125
Malta,18.0075,8.84125
Panama,17.1725,2.555
Germany,17.0825,10.3825
Latvia,16.9025,6.25875
Finland,16.88125,11.02875
Belgium,15.64,8.72
Ireland,15.31875,7.8325
San Marino,15.175,
Slovenia,14.45125,9.355
Slovakia,14.38875,7.00125
Qatar,14.235,21.5225
Brazil,14.13625,4.24
Barbados,13.67625,
Malaysia,13.44375,3.9175
Italy,13.01125,6.92625
United Kingdom,12.78,10.82
Russia,11.995,3.62375
Saudi Arabia,11.83,19.49625
Austria,11.78875,8.97625
Estonia,11.06125,9.41125
Serbia,10.84625,6.7275
Bulgaria,10.84375,17.78375
Trinidad and Tobago,10.725,5.14
Jordan,10.515,3.45125
Australia,10.34125,16.9125
Vietnam,9.7925,5.415
Ukraine,9.6025,3.99375
Bahrain,9.24375,10.755
Paraguay,9.0625,2.58125
Colombia,9.02375,2.29125
Philippines,8.98125,4.37875
Uruguay,8.73875,4.76
Belarus,8.67625,2.42625
Croatia,8.63625,14.345
Oman,8.535,11.40125
Guyana,8.24125,
India,8.00375,2.23625
Kazakhstan,7.91,3.9675
Bahamas,7.71875,
Montenegro,7.50375,5.56
Argentina,7.35875,3.72125
Peru,7.34125,3.1025
Grenada,7.13375,
Costa Rica,7.04875,4.25125
Cyprus,6.88875,18.08
Mexico,6.86,4.29125
South Africa,6.84375,6.52375
Saint Vincent and the Grenadines,6.72125,
Mongolia,6.69125,2.6675
Saint Lucia,6.5375,
Ghana,6.5125,1.6125
Kyrgyzstan,6.38375,3.08875
Bosnia and Herz.,6.06375,4.57625
Laos,6.02,3.86625
Uzbekistan,5.735,2.41125
Albania,5.69375,7.695
Turkey,5.435,6.10625
North Macedonia,5.405,8.0025
Madagascar,5.355,
Côte d'Ivoire,5.08,2.295
Belize,5.0775,
Bangladesh,5.03875,1.67875
Egypt,4.99625,3.11875
Mauritius,4.98125,3.785
Greece,4.885,11.5675
Ecuador,4.88375,3.0775
Armenia,4.86875,4.31625
Jamaica,4.73,5.52875
Tajikistan,4.43125,2.01875
Saint Kitts and Nevis,4.43125,
Senegal,4.37625,2.94875
Dominica,4.3625,
Brunei,4.32375,8.415
Nepal,4.23375,2.79875
Dominican Republic,4.0325,3.93125
Iraq,3.9575,5.29125
Marshall Islands,3.955,
Nicaragua,3.7425,3.32375
Palestine,3.6825,0.94625
Georgia,3.57625,4.98
Cambodia,3.54,2.96875
Indonesia,3.47875,2.89
Bolivia,3.475,2.82125
Maldives,3.4275,8.3625
Morocco,3.40125,4.94
El Salvador,3.38,3.35625
Cape Verde,3.3675,
Honduras,3.36625,3.855
Rwanda,3.2825,
Sri Lanka,3.26,2.0725
Liberia,3.21,
Burkina Faso,3.1925,
Azerbaijan,3.1375,5.08625
Seychelles,3.1125,
Bhutan,3.095,
Lesotho,3.08,
Venezuela,2.99,0.96
Guatemala,2.965,3.71125
Western Sahara,2.8775,
Micronesia,2.8175,
Gabon,2.8125,
Iran,2.67,4.435
Antigua and Barbuda,2.655,
Mali,2.6025,3.72375
Togo,2.595,4.51
Fiji,2.595,3.56375
Myanmar,2.58625,3.52375
Haiti,2.58375,2.46375
Tanzania,2.47125,1.65375
Namibia,2.4475,2.8975
Kenya,2.41875,2.7675
Somalia,2.3725,1.8425
Djibouti,2.28375,
Lebanon,2.2775,4.08
Zimbabwe,2.22625,
Nigeria,2.20625,3.0925
Zambia,2.155,2.3725
Benin,2.02875,
Vanuatu,2.0225,
Libya,2.015,2.00375
Suriname,1.99125,5.37125
Angola,1.8575,3.23375
Ethiopia,1.77125,3.27125
Cameroon,1.7425,3.8975
Pakistan,1.73,2.4775
Papua New Guinea,1.71,
Sierra Leone,1.695,
Uganda,1.69375,2.3775
Syria,1.59,2.40125
Malawi,1.5875,
Gambia,1.53,
Niger,1.46,
Mauritania,1.44375,2.495
Botswana,1.40125,
Burundi,1.3975,
Tunisia,1.39125,4.44625
Algeria,1.30375,2.2625
Mozambique,1.15875,3.1275
Guinea,1.105,
Afghanistan,1.0325,0.90875
Equatorial Guinea,0.99375,
Sudan,0.99,1.81375
Yemen,0.94875,
Turkmenistan,0.51375,
Cuba,0.50125,3.1275
